Name,ID,Donor,Family,Species
UD16_MOUSE,Q64435,UDP-alpha-D-glucuronate,1, Mus musculus (Mouse).
UD11_RAT,Q64550,UDP-alpha-D-glucuronate,1, Rattus norvegicus (Rat).
UD17_RAT,Q64633,UDP-alpha-D-glucuronate,1, Rattus norvegicus (Rat).
UD18_RAT,Q64634,UDP-alpha-D-glucuronate,1, Rattus norvegicus (Rat).
UD13_RAT,Q64637,UDP-alpha-D-glucuronate,1, Rattus norvegicus (Rat).
CGT_MOUSE,Q64676,UDP-alpha-D-galactose,1, Mus musculus (Mouse).
FUT4_PANTR,Q659K9,GDP-beta-L-fucose,10, Pan troglodytes (Chimpanzee).
FUT9_PANTR,Q659L0,GDP-beta-L-fucose,10, Pan troglodytes (Chimpanzee).
FUT9_CANLF,Q659L1,GDP-beta-L-fucose,10, Canis lupus familiaris (Dog) (Canis familiaris).
CGT_FRAAN,Q66PF4,UDP-alpha-D-glucose,1, Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana).
UFOG1_FRAAN,Q66PF5,UDP-alpha-D-glucose,1, Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana).
OFUT1_RAT,Q6EV70,GDP-beta-L-fucose,65, Rattus norvegicus (Rat).
FUT8_RAT,Q6EV76,GDP-beta-L-fucose,23, Rattus norvegicus (Rat).
FUT8_PANTR,Q6EV77,GDP-beta-L-fucose,23, Pan troglodytes (Chimpanzee).
U76G1_STERE,Q6VAB4,UDP-alpha-D-glucose,1, Stevia rebaudiana (Stevia) (Eupatorium rebaudianum).
UD17_MOUSE,Q6ZQM8,UDP-alpha-D-glucuronate,1, Mus musculus (Mouse).
FUT7_RAT,Q712G6,GDP-beta-L-fucose,10, Rattus norvegicus (Rat).
U73B4_ARATH,Q7Y232,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
UD2A1_MOUSE,Q80X89,UDP-alpha-D-glucuronate,1, Mus musculus (Mouse).
GUMK_XANCE,Q8GCH2,UDP-alpha-D-glucuronate,70, Xanthomonas campestris pv. campestris.
FUT5_HYLLA,Q8HYJ3,GDP-beta-L-fucose,10, Hylobates lar (Lar gibbon) (White-handed gibbon).
FUT5_PONPY,Q8HYJ4,GDP-beta-L-fucose,10, Pongo pygmaeus (Bornean orangutan).
FUT3_PONPY,Q8HYJ5,GDP-beta-L-fucose,10, Pongo pygmaeus (Bornean orangutan).
FUT6_GORGO,Q8HYJ6,GDP-beta-L-fucose,10, Gorilla gorilla gorilla (Western lowland gorilla).
FUT5_GORGO,Q8HYJ7,GDP-beta-L-fucose,10, Gorilla gorilla gorilla (Western lowland gorilla).
FUT9_BOVIN,Q8HZR2,GDP-beta-L-fucose,10, Bos taurus (Bovine).
FUT4_BOVIN,Q8HZR3,GDP-beta-L-fucose,10, Bos taurus (Bovine).
PADGT_ACHLA,Q8KQL6,UDP-alpha-D-glucose,4, Acholeplasma laidlawii.
PIMB_CORGL,Q8NNK8,GDP-alpha-D-mannose,4, Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025).
GYS2_MOUSE,Q8VCB3,UDP-alpha-D-glucose,3, Mus musculus (Mouse).
OFUT2_MOUSE,Q8VHI3,GDP-beta-L-fucose,68, Mus musculus (Mouse).
DGDG2_ARATH,Q8W1S1,UDP-alpha-D-galactose,4, Arabidopsis thaliana (Mouse-ear cress).
U73B3_ARATH,Q8W491,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
OFUT2_CAEEL,Q8WR51,GDP-beta-L-fucose,68, Caenorhabditis elegans.
OFUT1_MOUSE,Q91ZW2,GDP-beta-L-fucose,65, Mus musculus (Mouse).
TPS1_CANAL,Q92410,UDP-alpha-D-glucose,20, Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast).
U72E1_ARATH,Q94A84,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
TPS6_ARATH,Q94AH8,UDP-alpha-D-glucose,20, Arabidopsis thaliana (Mouse-ear cress).
SPSA1_ARATH,Q94BT0,UDP-alpha-D-glucose,4, Arabidopsis thaliana (Mouse-ear cress).
U73B2_ARATH,Q94C57,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
SPY_ARATH,Q96301,GDP-beta-L-fucose,41, Arabidopsis thaliana (Mouse-ear cress).
FUT9_RAT,Q99JB3,GDP-beta-L-fucose,10, Rattus norvegicus (Rat).
ALG1_HUMAN,Q9BT22,GDP-alpha-D-mannose,33, Homo sapiens (Human).
UDB28_HUMAN,Q9BY64,UDP-alpha-D-glucuronate,1, Homo sapiens (Human).
FUT8_HUMAN,Q9BYC5,GDP-beta-L-fucose,23, Homo sapiens (Human).
SPSA2_ARATH,Q9FY54,UDP-alpha-D-glucose,4, Arabidopsis thaliana (Mouse-ear cress).
FUT6_PONPY,Q9GKU6,GDP-beta-L-fucose,10, Pongo pygmaeus (Bornean orangutan).
OFUT1_HUMAN,Q9H488,GDP-beta-L-fucose,65, Homo sapiens (Human).
ALG2_HUMAN,Q9H553,GDP-alpha-D-mannose,4, Homo sapiens (Human).
UD17_HUMAN,Q9HAW7,UDP-alpha-D-glucuronate,1, Homo sapiens (Human).
UD110_HUMAN,Q9HAW8,UDP-alpha-D-glucuronate,1, Homo sapiens (Human).
UD18_HUMAN,Q9HAW9,UDP-alpha-D-glucuronate,1, Homo sapiens (Human).
WBPZ_PSEAE,Q9HTC0,GDP-alpha-D-mannose,4, Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1).
FUT9_CRIGR,Q9JIG1,GDP-beta-L-fucose,10, Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus).
XYLT_ARATH,Q9LDH0,UDP-alpha-D-xylose,61, Arabidopsis thaliana (Mouse-ear cress).
U78D2_ARATH,Q9LFJ8,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
FUT11_ARATH,Q9LJK1,GDP-beta-L-fucose,10, Arabidopsis thaliana (Mouse-ear cress).
U89C1_ARATH,Q9LNE6,UDP-beta-L-rhamnose,1, Arabidopsis thaliana (Mouse-ear cress).
U75B1_ARATH,Q9LR44,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
U84A2_ARATH,Q9LVF0,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
U72E2_ARATH,Q9LVR1,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
U72B1_ARATH,Q9M156,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
U80A2_ARATH,Q9M8Z7,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
DGDG1_ARATH,Q9S7D1,UDP-alpha-D-galactose,4, Arabidopsis thaliana (Mouse-ear cress).
HMNGT_SORBI,Q9SBL1,UDP-alpha-D-glucose,1, Sorghum bicolor (Sorghum) (Sorghum vulgare).
KGLT_PETHY,Q9SBQ8,UDP-alpha-D-galactose,1, Petunia hybrida (Petunia).
MGDG3_ARATH,Q9SI93,UDP-alpha-D-galactose,28, Arabidopsis thaliana (Mouse-ear cress).
MGDG_SPIOL,Q9SM44,UDP-alpha-D-galactose,28, Spinacia oleracea (Spinach).
U74E2_ARATH,Q9SYK9,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
TPS1_ARATH,Q9SYM4,UDP-alpha-D-glucose,20, Arabidopsis thaliana (Mouse-ear cress).
GYS_CAEEL,Q9U2D9,UDP-alpha-D-glucose,3, Caenorhabditis elegans.
AGS1_SCHPO,Q9USK8,UDP-alpha-D-glucose,5, Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).
OFUT1_DROME,Q9V6X7,GDP-beta-L-fucose,65, Drosophila melanogaster (Fruit fly).
GYS_DROME,Q9VFC8,UDP-alpha-D-glucose,3, Drosophila melanogaster (Fruit fly).
FUCTA_DROME,Q9VUL9,GDP-beta-L-fucose,10, Drosophila melanogaster (Fruit fly).
OFUT2_DROME,Q9W589,GDP-beta-L-fucose,68, Drosophila melanogaster (Fruit fly).
FUT8_MOUSE,Q9WTS2,GDP-beta-L-fucose,23, Mus musculus (Mouse).
ALG11_ARATH,Q9XEE9,GDP-alpha-D-mannose,4, Arabidopsis thaliana (Mouse-ear cress).
U80B1_ARATH,Q9XIG1,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
FUT9_HUMAN,Q9Y231,GDP-beta-L-fucose,10, Homo sapiens (Human).
OFUT2_HUMAN,Q9Y2G5,GDP-beta-L-fucose,68, Homo sapiens (Human).
ATG26_KOMPG,Q9Y751,UDP-alpha-D-glucose,1, Komagataella phaffii (strain GS115 / ATCC 20864) (Yeast) (Pichia pastoris).
GYS1_MOUSE,Q9Z1E4,UDP-alpha-D-glucose,3, Mus musculus (Mouse).
U73B5_ARATH,Q9ZQG4,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
ZOG_PHALU,Q9ZSK5,UDP-alpha-D-glucose,1, Phaseolus lunatus (Lima bean) (Phaseolus limensis).
F3GT1_ACTCC,A0A2R6Q8R5,UDP-alpha-D-galactose,1, Actinidia chinensis var. chinensis (Chinese soft-hair kiwi).
TPS1_BOTFB,A0A384JAD8,UDP-alpha-D-glucose,20, Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea).
PIMB_MYCS2,A0R043,GDP-alpha-D-mannose,4, Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis).
ATG26_ASPNC,A2QNQ5,UDP-alpha-D-glucose,1, Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513).
OTSA_MYCGI,A4T7Q6,UDP-alpha-D-glucose,20, Mycolicibacterium gilvum (strain PYR-GCK) (Mycobacterium gilvum (strain PYR-GCK)).
ATG26_PICAN,A7KAK6,UDP-alpha-D-glucose,1, Pichia angusta (Yeast) (Hansenula polymorpha).
ATG26_PENRW,A7KAN4,UDP-alpha-D-glucose,1, Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255) (Penicillium chrysogenum).
75L17_MALDO,A7MAS5,UDP-alpha-D-glucose,1, Malus domestica (Apple) (Pyrus malus).
5GT_GENTR,B2NID7,UDP-alpha-D-glucose,1, Gentiana triflora (Clustered gentian).
BX9_MAIZE,B4G072,UDP-alpha-D-glucose,1, Zea mays (Maize).
ATG26_GLOLA,C4B4E5,UDP-alpha-D-glucose,1, Glomerella lagenarium (Anthracnose fungus) (Colletotrichum lagenarium).
SPSA4_ARATH,F4JLK2,UDP-alpha-D-glucose,4, Arabidopsis thaliana (Mouse-ear cress).
UGT1_GARJA,F8WKW0,UDP-alpha-D-glucose,1, Gardenia jasminoides (Cape jasmine) (Gardenia augusta).
UGT2_GARJA,F8WKW1,UDP-alpha-D-glucose,1, Gardenia jasminoides (Cape jasmine) (Gardenia augusta).
TPSP_THETK,G4RK44,UDP-alpha-D-glucose,20, Thermoproteus tenax (strain ATCC 35583 / DSM 2078 / JCM 9277 / NBRC 100435 / Kra 1).
U84A3_ARATH,O23401,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
TPS5_ARATH,O23617,UDP-alpha-D-glucose,20, Arabidopsis thaliana (Mouse-ear cress).
TPS2_CAEEL,O45380,UDP-alpha-D-glucose,20, Caenorhabditis elegans.
TPS1_EMENI,O59921,UDP-alpha-D-glucose,20, Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans).
ALG11_SCHPO,O74878,GDP-alpha-D-mannose,4, Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).
TPS1_YARLI,O74932,UDP-alpha-D-glucose,20, Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica).
UDB11_HUMAN,O75310,UDP-alpha-D-glucuronate,1, Homo sapiens (Human).
U72E3_ARATH,O81498,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
TPS1_PICAN,O94213,UDP-alpha-D-glucose,20, Pichia angusta (Yeast) (Hansenula polymorpha).
ALG2_RHIPU,O94738,GDP-alpha-D-mannose,4, Rhizomucor pusillus.
UD2B2_RAT,P08541,UDP-alpha-D-glucuronate,1, Rattus norvegicus (Rat).
ATG26_CRYNJ,P0CN90,UDP-alpha-D-glucose,1, Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans).
TAGE_BACSU,P13484,nUDP-alpha-D-glucose,4, Bacillus subtilis (strain 168).
UDB17_MOUSE,P17717,UDP-alpha-D-glucuronate,1, Mus musculus (Mouse).
UDB37_RAT,P19488,UDP-alpha-D-glucuronate,1, Rattus norvegicus (Rat).
SPSA_SPIOL,P31928,UDP-alpha-D-glucose,4, Spinacia oleracea (Spinach).
UDB10_HUMAN,P36537,UDP-alpha-D-glucuronate,1, Homo sapiens (Human).
UD12_MOUSE,P70691,UDP-alpha-D-glucuronate,1, Mus musculus (Mouse).
ALG1_DICDI,P90522,GDP-alpha-D-mannose,33, Dictyostelium discoideum (Social amoeba).
GTFB_AMYOR,P96559,UDP-alpha-D-glucose,1, Amycolatopsis orientalis (Nocardia orientalis).
OTSA_MYCTO,P9WN10,UDP-alpha-D-glucose,20, Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh).
TPS1A_ASPNG,Q00075,UDP-alpha-D-glucose,20, Aspergillus niger.
U75C1_ARATH,Q0WW21,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
UGTP_STAA8,Q2FZP7,UDP-alpha-D-glucose,28, Staphylococcus aureus (strain NCTC 8325 / PS 47).
UFOG7_FRAAN,Q2V6J9,UDP-alpha-D-glucose,1, Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana).
UFOG6_FRAAN,Q2V6K0,UDP-alpha-D-glucose,1, Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana).
4CGT_ANTMA,Q33DV3,UDP-alpha-D-glucose,1, Antirrhinum majus (Garden snapdragon).
UD3A2_HUMAN,Q3SY77,UDP-alpha-D-glucuronate,1, Homo sapiens (Human).
WBDA2_ECOLX,Q47593,GDP-alpha-D-mannose,4, Escherichia coli.
DUSKY_IPONI,Q53UH4,UDP-alpha-D-glucose,1, Ipomoea nil (Japanese morning glory) (Pharbitis nil).
ATG26_EMENI,Q5B4C9,UDP-alpha-D-glucose,1, Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans).
GT4A_SOLAA,Q5H861,UDP-alpha-D-glucose,1, Solanum aculeatissimum (Dutch eggplant) (Solanum khasianum).
UGTP_STAAC,Q5HH69,UDP-alpha-D-glucose,28, Staphylococcus aureus (strain COL).
FUT8_PONAB,Q5NVB3,GDP-beta-L-fucose,23, Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii).
UD15_RAT,Q64638,UDP-alpha-D-glucuronate,1, Rattus norvegicus (Rat).
FUT8_CANLF,Q659X0,GDP-beta-L-fucose,23, Canis lupus familiaris (Dog) (Canis familiaris).
ATG26_YARLI,Q6C8M8,UDP-alpha-D-glucose,1, Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica).
OFUT2_PANTR,Q6EV56,GDP-beta-L-fucose,68, Pan troglodytes (Chimpanzee).
OFUT1_PANTR,Q6EV69,GDP-beta-L-fucose,65, Pan troglodytes (Chimpanzee).
ALG2_CANGA,Q6FJJ9,GDP-alpha-D-mannose,4, Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus).
UD3A1_HUMAN,Q6NUS8,UDP-alpha-D-glucuronate,1, Homo sapiens (Human).
FUT8_XENTR,Q6NVP8,GDP-beta-L-fucose,23, Xenopus tropicalis (Western clawed frog) (Silurana tropicalis).
UD2A2_MOUSE,Q6PDD0,UDP-alpha-D-glucuronate,1, Mus musculus (Mouse).
SPSA4_ORYSJ,Q6ZHZ1,UDP-alpha-D-glucose,4, Oryza sativa subsp. japonica (Rice).
ATG26_EREGS,Q751Z4,UDP-alpha-D-glucose,1, Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii).
ALG2_EREGS,Q755C1,GDP-alpha-D-mannose,4, Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii).
UBGAT_SCUBA,Q76MR7,UDP-alpha-D-glucuronate,1, Scutellaria baicalensis (Baical skullcap).
ATG26_NEUCR,Q7S1I0,UDP-alpha-D-glucose,1, Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987).
TPS1_CAEEL,Q7YZT6,UDP-alpha-D-glucose,20, Caenorhabditis elegans.
FLRT_CITMA,Q8GVE3,UDP-beta-L-rhamnose,1, Citrus maxima (Pomelo) (Citrus grandis).
ATG26_LEPMC,Q8NJS1,UDP-alpha-D-glucose,1, Leptosphaeria maculans (Blackleg fungus) (Phoma lingam).
SPSA3_ARATH,Q8RY24,UDP-alpha-D-glucose,4, Arabidopsis thaliana (Mouse-ear cress).
BX8_MAIZE,Q8W2B7,UDP-alpha-D-glucose,1, Zea mays (Maize).
ALG1_MOUSE,Q921Q3,GDP-alpha-D-mannose,33, Mus musculus (Mouse).
AMGDS_ACHLA,Q93P60,UDP-alpha-D-glucose,4, Acholeplasma laidlawii.
CZOG1_MAIZE,Q93XP7,UDP-alpha-D-glucose,1, Zea mays (Maize).
U7E12_ARATH,Q94AB5,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
ALG2_SCHPO,Q96WW6,GDP-alpha-D-mannose,4, Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).
U89B1_ARATH,Q9C9B0,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
ALG2_MOUSE,Q9DBE8,GDP-alpha-D-mannose,4, Mus musculus (Mouse).
U71C4_ARATH,Q9LML6,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
AXYLT_ARATH,Q9LVW3,UDP-alpha-D-xylose,1, Arabidopsis thaliana (Mouse-ear cress).
FUT8_BOVIN,Q9N0W2,GDP-beta-L-fucose,23, Bos taurus (Bovine).
U78D1_ARATH,Q9S9P6,UDP-beta-L-rhamnose,1, Arabidopsis thaliana (Mouse-ear cress).
FUT8_DROME,Q9VYV5,GDP-beta-L-fucose,23, Drosophila melanogaster (Fruit fly).
5GT1_PERFR,Q9ZR27,UDP-alpha-D-glucose,1, Perilla frutescens (Beefsteak mint) (Perilla ocymoides).
U75B2_ARATH,Q9ZVY5,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
OTSA_MYCUA,A0PUT6,UDP-alpha-D-glucose,20, Mycobacterium ulcerans (strain Agy99).
OTSA_MYCA1,A0QAK7,UDP-alpha-D-glucose,20, Mycobacterium avium (strain 104).
UGTP_BACAH,A0R9F0,UDP-alpha-D-glucose,28, Bacillus thuringiensis (strain Al Hakam).
OTSA_ECOK1,A1AC53,UDP-alpha-D-glucose,20, Escherichia coli O1:K1 / APEC.
OTSA_MYCBP,A1KPH5,UDP-alpha-D-glucose,20, Mycobacterium bovis (strain BCG / Pasteur 1173P2).
OTSA_MYCVP,A1TFL3,UDP-alpha-D-glucose,20, Mycolicibacterium vanbaalenii (strain DSM 7251 / JCM 13017 / BCRC 16820 / KCTC 9966 / NRRL B-24157 / PYR-1) (Mycobacterium vanbaalenii).
OTSA_MYCSK,A1UM30,UDP-alpha-D-glucose,20, Mycobacterium sp. (strain KMS).
SPSA1_ORYSI,A2WYE9,UDP-alpha-D-glucose,4, Oryza sativa subsp. indica (Rice).
OTSA_MYCSJ,A3Q6H9,UDP-alpha-D-glucose,20, Mycobacterium sp. (strain JLS).
OTSA_ENT38,A4WBR1,UDP-alpha-D-glucose,20, Enterobacter sp. (strain 638).
UGTP_STAA9,A5IRJ3,UDP-alpha-D-glucose,28, Staphylococcus aureus (strain JH9).
OTSA_MYCTA,A5U8G5,UDP-alpha-D-glucose,20, Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra).
UGTP_STAAE,A6QFM7,UDP-alpha-D-glucose,28, Staphylococcus aureus (strain Newman).
