Name,ID,Acceptor,Donor,Family,GN,Species
A0A7I8IRL3_SPIIN,A0A7I8IRL3,Null,Null,4.0,SI7747_05006920 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IRS2_SPIIN,A0A7I8IRS2,Null,Null,1.0,SI7747_05006284 , Spirodela intermedia (Intermediate duckweed).
A0A7I8ISI8_SPIIN,A0A7I8ISI8,Null,Null,47.0,SI7747_06007232 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IT72_SPIIN,A0A7I8IT72,Null,Null,1.0,SI7747_06007601 , Spirodela intermedia (Intermediate duckweed).
A0A7I8ITB2_SPIIN,A0A7I8ITB2,Null,Null,1.0,SI7747_06007600 , Spirodela intermedia (Intermediate duckweed).
A0A7I8ITJ6_SPIIN,A0A7I8ITJ6,Null,Null,47.0,SI7747_06007721 , Spirodela intermedia (Intermediate duckweed).
A0A7I8ITP4_SPIIN,A0A7I8ITP4,Null,Null,4.0,SI7747_06007761 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IU43_SPIIN,A0A7I8IU43,Null,Null,1.0,SI7747_06007901 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IUI1_SPIIN,A0A7I8IUI1,Null,Null,1.0,SI7747_06007598 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IWH7_SPIIN,A0A7I8IWH7,Null,Null,1.0,SI7747_06007886 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IXY0_SPIIN,A0A7I8IXY0,Null,Null,1.0,SI7747_07008947 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IZI1_SPIIN,A0A7I8IZI1,Null,Null,1.0,SI7747_07008946 , Spirodela intermedia (Intermediate duckweed).
A0A7I8J1V6_SPIIN,A0A7I8J1V6,Null,Null,28.0,SI7747_08010527 , Spirodela intermedia (Intermediate duckweed).
A0A7I8J4L1_SPIIN,A0A7I8J4L1,Null,Null,47.0,SI7747_09011567 , Spirodela intermedia (Intermediate duckweed).
A0A7I8J5A2_SPIIN,A0A7I8J5A2,Null,Null,1.0,SI7747_09011670 , Spirodela intermedia (Intermediate duckweed).
A0A7I8J6L1_SPIIN,A0A7I8J6L1,Null,Null,1.0,SI7747_09012266 , Spirodela intermedia (Intermediate duckweed).
A0A7I8J6T2_SPIIN,A0A7I8J6T2,Null,Null,1.0,SI7747_09012336 , Spirodela intermedia (Intermediate duckweed).
A0A7I8J786_SPIIN,A0A7I8J786,Null,Null,1.0,SI7747_09011671 , Spirodela intermedia (Intermediate duckweed).
A0A7I8J7I4_SPIIN,A0A7I8J7I4,Null,Null,47.0,SI7747_09012410 , Spirodela intermedia (Intermediate duckweed).
A0A7I8J7Y8_SPIIN,A0A7I8J7Y8,Null,Null,1.0,SI7747_09012737 , Spirodela intermedia (Intermediate duckweed).
A0A7I8J8C5_SPIIN,A0A7I8J8C5,Null,Null,1.0,SI7747_09012738 , Spirodela intermedia (Intermediate duckweed).
A0A7I8J8E8_SPIIN,A0A7I8J8E8,Null,Null,1.0,SI7747_09012733 , Spirodela intermedia (Intermediate duckweed).
A0A7I8J994_SPIIN,A0A7I8J994,Null,Null,47.0,SI7747_09012411 , Spirodela intermedia (Intermediate duckweed).
A0A7I8J9B0_SPIIN,A0A7I8J9B0,Null,Null,47.0,SI7747_09012412 , Spirodela intermedia (Intermediate duckweed).
A0A7I8J9F1_SPIIN,A0A7I8J9F1,Null,Null,1.0,SI7747_10013093 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JDA2_SPIIN,A0A7I8JDA2,Null,Null,1.0,SI7747_11014375 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JDA8_SPIIN,A0A7I8JDA8,Null,Null,1.0,SI7747_10013755 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JDW3_SPIIN,A0A7I8JDW3,Null,Null,47.0,SI7747_11014117 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JEU8_SPIIN,A0A7I8JEU8,Null,Null,47.0,SI7747_11014457 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JHC0_SPIIN,A0A7I8JHC0,Null,Null,1.0,SI7747_13015927 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JI70_SPIIN,A0A7I8JI70,Null,Null,92.0,SI7747_13016251 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JI86_SPIIN,A0A7I8JI86,Null,Null,4.0,SI7747_13016034 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JIJ0_SPIIN,A0A7I8JIJ0,Null,Null,28.0,SI7747_13016362 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JJF4_SPIIN,A0A7I8JJF4,Null,Null,1.0,SI7747_13016710 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JJH5_SPIIN,A0A7I8JJH5,Null,Null,1.0,SI7747_13016707 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JLF0_SPIIN,A0A7I8JLF0,Null,Null,1.0,SI7747_13016705 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JLY0_SPIIN,A0A7I8JLY0,Null,Null,1.0,SI7747_14016978 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JM79_SPIIN,A0A7I8JM79,Null,Null,1.0,SI7747_14017088 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JN57_SPIIN,A0A7I8JN57,Null,Null,28.0,SI7747_14017418 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JN80_SPIIN,A0A7I8JN80,Null,Null,47.0,SI7747_15018032 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JPC7_SPIIN,A0A7I8JPC7,Null,Null,47.0,SI7747_15018033 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JPD2_SPIIN,A0A7I8JPD2,Null,Null,47.0,SI7747_15018029 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JPY8_SPIIN,A0A7I8JPY8,Null,Null,1.0,SI7747_16018635 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JQM4_SPIIN,A0A7I8JQM4,Null,Null,1.0,SI7747_16018851 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JSP5_SPIIN,A0A7I8JSP5,Null,Null,47.0,SI7747_17019614 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JUE2_SPIIN,A0A7I8JUE2,Null,Null,1.0,SI7747_18019792 , Spirodela intermedia (Intermediate duckweed).
A0A7I8K0B7_SPIIN,A0A7I8K0B7,Null,Null,1.0,SI7747_01001656 , Spirodela intermedia (Intermediate duckweed).
A0A7I8K1Q7_SPIIN,A0A7I8K1Q7,Null,Null,47.0,SI8410_01001762 , Spirodela intermedia (Intermediate duckweed).
A0A7I8K1Y5_SPIIN,A0A7I8K1Y5,Null,Null,1.0,SI8410_01001786 , Spirodela intermedia (Intermediate duckweed).
A0A7I8K2Q3_SPIIN,A0A7I8K2Q3,Null,Null,1.0,SI8410_02002084 , Spirodela intermedia (Intermediate duckweed).
A0A7I8K3Y9_SPIIN,A0A7I8K3Y9,Null,Null,92.0,SI8410_02002586 , Spirodela intermedia (Intermediate duckweed).
A0A7I8K4L6_SPIIN,A0A7I8K4L6,Null,Null,1.0,SI8410_02003331 , Spirodela intermedia (Intermediate duckweed).
A0A7I8K5A7_SPIIN,A0A7I8K5A7,Null,Null,1.0,SI8410_03003560 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KAG7_SPIIN,A0A7I8KAG7,Null,Null,47.0,SI8410_03004622 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KAH7_SPIIN,A0A7I8KAH7,Null,Null,47.0,SI8410_04005410 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KAP1_SPIIN,A0A7I8KAP1,Null,Null,47.0,SI8410_04005412 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KB01_SPIIN,A0A7I8KB01,Null,Null,1.0,SI8410_04005522 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KBG4_SPIIN,A0A7I8KBG4,Null,Null,1.0,SI8410_04005781 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KBS4_SPIIN,A0A7I8KBS4,Null,Null,1.0,SI8410_04005908 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KBS9_SPIIN,A0A7I8KBS9,Null,Null,1.0,SI8410_04005784 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KCB0_SPIIN,A0A7I8KCB0,Null,Null,1.0,SI8410_04005783 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KCD3_SPIIN,A0A7I8KCD3,Null,Null,1.0,SI8410_04005525 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KCW6_SPIIN,A0A7I8KCW6,Null,Null,1.0,SI8410_04005725 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KD08_SPIIN,A0A7I8KD08,Null,Null,1.0,SI8410_04005526 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KD32_SPIIN,A0A7I8KD32,Null,Null,1.0,SI8410_04005785 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KDF3_SPIIN,A0A7I8KDF3,Null,Null,1.0,SI8410_04005779 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KDP5_SPIIN,A0A7I8KDP5,Null,Null,1.0,SI8410_04005786 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KE40_SPIIN,A0A7I8KE40,Null,Null,1.0,SI8410_05006425 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KEP9_SPIIN,A0A7I8KEP9,Null,Null,47.0,SI8410_05006903 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KEQ5_SPIIN,A0A7I8KEQ5,Null,Null,92.0,SI8410_05006665 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KFX0_SPIIN,A0A7I8KFX0,Null,Null,1.0,SI8410_05006849 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KH97_SPIIN,A0A7I8KH97,Null,Null,47.0,SI8410_06007852 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KIF0_SPIIN,A0A7I8KIF0,Null,Null,1.0,SI8410_06008228 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KIS7_SPIIN,A0A7I8KIS7,Null,Null,47.0,SI8410_06008354 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KJ98_SPIIN,A0A7I8KJ98,Null,Null,1.0,SI8410_06008522 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KK82_SPIIN,A0A7I8KK82,Null,Null,1.0,SI8410_06008229 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KL66_SPIIN,A0A7I8KL66,Null,Null,1.0,SI8410_06008539 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KNU7_SPIIN,A0A7I8KNU7,Null,Null,1.0,SI8410_07009636 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KPG0_SPIIN,A0A7I8KPG0,Null,Null,1.0,SI8410_07009634 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KT67_SPIIN,A0A7I8KT67,Null,Null,28.0,SI8410_08011350 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KXE9_SPIIN,A0A7I8KXE9,Null,Null,47.0,SI8410_09013167 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KXF8_SPIIN,A0A7I8KXF8,Null,Null,1.0,SI8410_09012684 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KY83_SPIIN,A0A7I8KY83,Null,Null,1.0,SI8410_09013319 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KYA7_SPIIN,A0A7I8KYA7,Null,Null,47.0,SI8410_09013461 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KYB2_SPIIN,A0A7I8KYB2,Null,Null,1.0,SI8410_09012683 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KZ85_SPIIN,A0A7I8KZ85,Null,Null,1.0,SI8410_09013801 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KZA4_SPIIN,A0A7I8KZA4,Null,Null,1.0,SI8410_09013807 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KZD7_SPIIN,A0A7I8KZD7,Null,Null,1.0,SI8410_09013808 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L051_SPIIN,A0A7I8L051,Null,Null,1.0,SI8410_09013810 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L0C1_SPIIN,A0A7I8L0C1,Null,Null,1.0,SI8410_09013383 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L0E9_SPIIN,A0A7I8L0E9,Null,Null,1.0,SI8410_10014178 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L1F7_SPIIN,A0A7I8L1F7,Null,Null,1.0,SI7747_09012734 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L1W1_SPIIN,A0A7I8L1W1,Null,Null,47.0,SI8410_10014254 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L4N4_SPIIN,A0A7I8L4N4,Null,Null,1.0,SI8410_10014872 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L5M4_SPIIN,A0A7I8L5M4,Null,Null,47.0,SI8410_11015212 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L6B5_SPIIN,A0A7I8L6B5,Null,Null,1.0,SI8410_11015483 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L6K7_SPIIN,A0A7I8L6K7,Null,Null,47.0,SI8410_11015572 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L960_SPIIN,A0A7I8L960,Null,Null,4.0,SI8410_13017275 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L9N3_SPIIN,A0A7I8L9N3,Null,Null,1.0,SI8410_13017170 , Spirodela intermedia (Intermediate duckweed).
A0A7I8LAM4_SPIIN,A0A7I8LAM4,Null,Null,92.0,SI8410_13017500 , Spirodela intermedia (Intermediate duckweed).
A0A7I8LAY3_SPIIN,A0A7I8LAY3,Null,Null,28.0,SI8410_13017620 , Spirodela intermedia (Intermediate duckweed).
A0A7I8LBG5_SPIIN,A0A7I8LBG5,Null,Null,1.0,SI8410_13018041 , Spirodela intermedia (Intermediate duckweed).
A0A7I8LBU8_SPIIN,A0A7I8LBU8,Null,Null,1.0,SI8410_14018181 , Spirodela intermedia (Intermediate duckweed).
A0A7I8LC68_SPIIN,A0A7I8LC68,Null,Null,47.0,SI8410_13017533 , Spirodela intermedia (Intermediate duckweed).
A0A7I8LC95_SPIIN,A0A7I8LC95,Null,Null,1.0,SI8410_14018325 , Spirodela intermedia (Intermediate duckweed).
A0A7I8LDI0_SPIIN,A0A7I8LDI0,Null,Null,1.0,SI8410_13018036 , Spirodela intermedia (Intermediate duckweed).
A0A7I8LDK4_SPIIN,A0A7I8LDK4,Null,Null,1.0,SI8410_13018043 , Spirodela intermedia (Intermediate duckweed).
A0A7I8LDQ3_SPIIN,A0A7I8LDQ3,Null,Null,1.0,SI8410_14018444 , Spirodela intermedia (Intermediate duckweed).
A0A7I8LEC3_SPIIN,A0A7I8LEC3,Null,Null,1.0,SI8410_14018323 , Spirodela intermedia (Intermediate duckweed).
A0A7I8LEL8_SPIIN,A0A7I8LEL8,Null,Null,28.0,SI8410_14018794 , Spirodela intermedia (Intermediate duckweed).
A0A7I8LFC2_SPIIN,A0A7I8LFC2,Null,Null,47.0,SI8410_15019401 , Spirodela intermedia (Intermediate duckweed).
